year,group_name,team
2002,A,France
2002,A,Senegal
2002,A,Uruguay
2002,A,Denmark
2002,B,Spain
2002,B,Paraguay
2002,B,South Africa
2002,B,Slovenia
2002,C,Brazil
2002,C,Turkey
2002,C,China
2002,C,Costa Rica
2002,D,South Korea
2002,D,Poland
2002,D,USA
2002,D,Portugal
2002,E,Germany
2002,E,Ireland
2002,E,Saudi Arabia
2002,E,Cameroon
2002,F,Argentina
2002,F,England
2002,F,Sweden
2002,F,Nigeria
2002,G,Italy
2002,G,Ecuador
2002,G,Croatia
2002,G,Mexico
2002,H,Japan
2002,H,Belgium
2002,H,Russia
2002,H,Tunisia
2006,A,Germany
2006,A,Costa Rica
2006,A,Poland
2006,A,Ecuador
2006,B,England
2006,B,Paraguay
2006,B,Trinidad and Tobago
2006,B,Sweden
2006,C,Argentina
2006,C,Ivory Coast
2006,C,Serbia and Montenegro
2006,C,Netherlands
2006,D,Mexico
2006,D,Iran
2006,D,Angola
2006,D,Portugal
2006,E,Italy
2006,E,Ghana
2006,E,USA
2006,E,Czech Republic
2006,F,Brazil
2006,F,Croatia
2006,F,Australia
2006,F,Japan
2006,G,France
2006,G,Switzerland
2006,G,South Korea
2006,G,Togo
2006,H,Spain
2006,H,Ukraine
2006,H,Tunisia
2006,H,Saudi Arabia
2010,A,South Africa
2010,A,Mexico
2010,A,Uruguay
2010,A,France
2010,B,Argentina
2010,B,Nigeria
2010,B,South Korea
2010,B,Greece
2010,C,England
2010,C,USA
2010,C,Algeria
2010,C,Slovenia
2010,D,Germany
2010,D,Australia
2010,D,Serbia
2010,D,Ghana
2010,E,Netherlands
2010,E,Denmark
2010,E,Japan
2010,E,Cameroon
2010,F,Italy
2010,F,Paraguay
2010,F,New Zealand
2010,F,Slovakia
2010,G,Brazil
2010,G,North Korea
2010,G,Ivory Coast
2010,G,Portugal
2010,H,Spain
2010,H,Switzerland
2010,H,Honduras
2010,H,Chile
2014,A,Brazil
2014,A,Croatia
2014,A,Mexico
2014,A,Cameroon
2014,B,Spain
2014,B,Netherlands
2014,B,Chile
2014,B,Australia
2014,C,Colombia
2014,C,Greece
2014,C,Ivory Coast
2014,C,Japan
2014,D,Uruguay
2014,D,Costa Rica
2014,D,England
2014,D,Italy
2014,E,Switzerland
2014,E,Ecuador
2014,E,France
2014,E,Honduras
2014,F,Argentina
2014,F,Bosnia and Herzegovina
2014,F,Iran
2014,F,Nigeria
2014,G,Germany
2014,G,Portugal
2014,G,Ghana
2014,G,USA
2014,H,Belgium
2014,H,Algeria
2014,H,Russia
2014,H,South Korea
2018,A,Russia
2018,A,Saudi Arabia
2018,A,Egypt
2018,A,Uruguay
2018,B,Portugal
2018,B,Spain
2018,B,Morocco
2018,B,Iran
2018,C,France
2018,C,Australia
2018,C,Peru
2018,C,Denmark
2018,D,Argentina
2018,D,Iceland
2018,D,Croatia
2018,D,Nigeria
2018,E,Brazil
2018,E,Switzerland
2018,E,Costa Rica
2018,E,Serbia
2018,F,Germany
2018,F,Mexico
2018,F,Sweden
2018,F,South Korea
2018,G,Belgium
2018,G,Panama
2018,G,Tunisia
2018,G,England
2018,H,Poland
2018,H,Senegal
2018,H,Colombia
2018,H,Japan
2022,A,Qatar
2022,A,Ecuador
2022,A,Senegal
2022,A,Netherlands
2022,B,England
2022,B,Iran
2022,B,USA
2022,B,Wales
2022,C,Argentina
2022,C,Saudi Arabia
2022,C,Mexico
2022,C,Poland
2022,D,France
2022,D,Australia
2022,D,Denmark
2022,D,Tunisia
2022,E,Spain
2022,E,Costa Rica
2022,E,Germany
2022,E,Japan
2022,F,Belgium
2022,F,Canada
2022,F,Morocco
2022,F,Croatia
2022,G,Brazil
2022,G,Serbia
2022,G,Switzerland
2022,G,Cameroon
2022,H,Portugal
2022,H,Ghana
2022,H,Uruguay
2022,H,South Korea
