name,iso_code,confederation_code
Algeria,ALG,CAF
Angola,ANG,CAF
Argentina,ARG,CONMEBOL
Australia,AUS,AFC
Belgium,BEL,UEFA
Bosnia and Herzegovina,BIH,UEFA
Brazil,BRA,CONMEBOL
Cameroon,CMR,CAF
Canada,CAN,CONCACAF
Chile,CHI,CONMEBOL
China,CHN,AFC
Colombia,COL,CONMEBOL
Costa Rica,CRC,CONCACAF
Croatia,CRO,UEFA
Czech Republic,CZE,UEFA
Denmark,DEN,UEFA
Ecuador,ECU,CONMEBOL
Egypt,EGY,CAF
England,ENG,UEFA
France,FRA,UEFA
Germany,GER,UEFA
Ghana,GHA,CAF
Greece,GRE,UEFA
Honduras,HON,CONCACAF
Iceland,ISL,UEFA
Iran,IRN,AFC
Ireland,IRL,UEFA
Italy,ITA,UEFA
Ivory Coast,CIV,CAF
Japan,JPN,AFC
Mexico,MEX,CONCACAF
Morocco,MAR,CAF
Netherlands,NED,UEFA
New Zealand,NZL,OFC
Nigeria,NGA,CAF
North Korea,PRK,AFC
Panama,PAN,CONCACAF
Paraguay,PAR,CONMEBOL
Peru,PER,CONMEBOL
Poland,POL,UEFA
Portugal,POR,UEFA
Qatar,QAT,AFC
Russia,RUS,UEFA
Saudi Arabia,KSA,AFC
Senegal,SEN,CAF
Serbia,SRB,UEFA
Serbia and Montenegro,SCG,UEFA
Slovakia,SVK,UEFA
Slovenia,SVN,UEFA
South Africa,RSA,CAF
South Korea,KOR,AFC
Spain,ESP,UEFA
Sweden,SWE,UEFA
Switzerland,SUI,UEFA
Togo,TOG,CAF
Trinidad and Tobago,TRI,CONCACAF
Tunisia,TUN,CAF
Turkey,TUR,UEFA
Ukraine,UKR,UEFA
Uruguay,URU,CONMEBOL
USA,USA,CONCACAF
Wales,WAL,UEFA
